Food,Serving,Calories
Round Steak,100g,182 cal
Rum Cake,100g,351 cal
Rutabaga,100g,38 cal
S’mores,100g,500 cal
Sacher Torte,100g,352 cal
Salmon,100g,206 cal
Sapodilla,100g,83 cal
Sardines,100g,208 cal
Scallops,100g,111 cal
Scampi,100g,84 cal
Schnitzel,100g,156 cal
Schwan’s,100g,246 cal
Sea Bass,100g,124 cal
Semi-skimmed Milk,100ml,50 cal
Semolina,100g,340 cal
Semolina Pudding,100g,67 cal
Shad,100g,252 cal
Shallots,100g,72 cal
Shark,100g,130 cal
Skim Milk,100ml,35 cal
Skittles,100g,405 cal
Smarties,100g,357 cal
Smarties McFlurry,100g,198 cal
Smelt,100g,124 cal
Smoked Salmon,100g,158 cal
Smores,100g,500 cal
Snickers,100g,484 cal
Snickers Ice Cream,100g,360 cal
Soft Serve,100g,222 cal
Sole,100g,86 cal
Solero,100g,100 cal
Sour Cream,100g,181 cal
Sour Patch Kids,100g,363 cal
Soursop Fruit,100g,66 cal
Soy Milk,100ml,45 cal
Spare Ribs,100g,238 cal
Speculoos,100g,469 cal
Spicy Italian,100g,219 cal
Spinach,100g,23 cal
Sponge Cake,100g,289 cal
Spritz Cookies,100g,500 cal
Squash,100g,45 cal
Squid,100g,92 cal
Standing Rib Roast,100g,333 cal
Starfruit,100g,31 cal
Strawberries,100g,32 cal
Strawberry Cheesecake,100g,327 cal
Strawberry Ice Cream,100g,236 cal
Strawberry Pie,100g,230 cal
Strawberry Rhubarb Pie,100g,281 cal
Strawberry Sundae,100g,158 cal
Sturgeon,100g,135 cal
Subway Club Sandwich,100g,131 cal
Sundae,100g,215 cal
Sushi,100g,150 cal
Sweet Potato,100g,86 cal
Sweet Potato Pie,100g,260 cal
Sweetened Condensed Milk,100ml,321 cal
Swiss Roll,100g,439 cal
Swordfish,100g,172 cal
Take 5,100g,476 cal
Tamarind,100g,239 cal
Tangerine,100g,53 cal
Tarte Tatin,100g,210 cal
T-Bone Steak,100g,202 cal
Tiramisu,100g,283 cal
Tiramisu Cake,100g,291 cal
Toblerone,100g,525 cal
Tomato,100g,18 cal
Tortilla Wrap,100g,271 cal
Treacle Tart,100g,369 cal
Tres Leches Cake,100g,246 cal
Trifle,100g,180 cal
Trifle,100g,186 cal
Triggerfish,100g,93 cal
Trout,100g,190 cal
Tuna,100g,86 cal
Tuna,100g,132 cal
Tuna Salad,100g,187 cal
Turbot,100g,122 cal
Turkey,100g,104 cal
Turkey,100g,189 cal
Turkey Breast,100g,135 cal
Turkey Hill,100g,271 cal
Turkey Legs,100g,208 cal
Turkey Steak,100g,189 cal
Turkey Wings,100g,221 cal
Turnip Greens,100g,20 cal
Turnips,100g,28 cal
Twix,100g,495 cal
Tzatziki,100g,117 cal
Vanilla Cone,100g,162 cal
Vanilla Ice Cream,100g,201 cal
Veggie Burger,100g,181 cal
Veggie Delight,100g,138 cal
Veggie Patty,100g,390 cal
Victoria Sponge Cake,100g,257 cal
Waffles,100g,312 cal
Waffles,100g,272 cal
Wahoo,100g,167 cal
Wasabi,100g,109 cal
Watermelon,100g,30 cal
Wedding Cake,100g,381 cal
Wendy’s Baconator,100g,304 cal
Wendy’s Jr. Bacon Cheeseburger,100g,261 cal
Wendy’s Jr. Cheeseburger,100g,225 cal
Wendy’s Son of Baconator,100g,321 cal
Whipped Cream,100g,257 cal
Whitefish,100g,172 cal
Whiting,100g,116 cal
Whole Milk,100ml,61 cal
Whoopie Pie,100g,400 cal
Whopper,100g,231 cal
Winter Squash,100g,34 cal
Yogurt,100g,61 cal
Zander,100g,84 cal
Zinger,100g,256 cal
Zinger Burger,100g,256 cal
Zucchini,100g,17 cal
